연번,지번주소,도로명 주소,위도,경도
145,서울특별시 강남구 일원본동 729,서울특별시 강남구 광평로1길 21 (일원동),37.4838860121,127.0775932239
146,서울특별시 강남구 일원본동 724-7,서울특별시 강남구 광평로5길 18 (일원동),37.4839143004,127.0788232911
147,서울특별시 강남구 대치1동 1017-2,"서울특별시 강남구 도곡로78길 22 (대치동, 대치삼성아파트)",37.4966357303,127.0588476129
148,서울특별시 강남구 대치1동 1015-7,서울특별시 강남구 도곡로78길 8 (대치동),37.4974072125,127.0587662311
149,서울특별시 강남구 대치1동 1014-2,서울특별시 강남구 삼성로57길 39 (대치동),37.4971655454,127.0580721501
150,서울특별시 강남구 대치1동 1013,서울특별시 강남구 도곡로64길 21 (대치동),37.4956174948,127.0577682282
151,서울특별시 강남구 대치2동 951-7,"서울특별시 강남구 영동대로85길 17-6 (대치동, 비취타운)",37.5065839432,127.0621354206
152,서울특별시 강남구 대치2동 944-27,서울특별시 강남구 영동대로85길 34 (대치동),37.5068334516,127.0608856472
153,서울특별시 강남구 대치2동 954-9,서울특별시 강남구 역삼로87길 21 (대치동),37.5053142095,127.0604712678
154,서울특별시 강남구 대치2동 933 건너편,서울특별시 강남구 역삼로87길 8 (대치동),37.4989983927,127.0571063270
155,서울특별시 강남구 대치2동 954-7,"서울특별시 강남구 삼성로76길 23-16 (대치동, 대치동 다세대주택 (용봉빌라))",37.5051592402,127.0601111538
156,서울특별시 강남구 대치2동 954,서울특별시 강남구 삼성로82길 26 (대치동),37.5054268168,127.0599771213
157,서울특별시 강남구 대치2동 955-15,서울특별시 강남구 역삼로83길 16 (대치동),37.5046955683,127.0596065970
158,서울특별시 강남구 대치2동 956-7,서울특별시 강남구 삼성로84길 31 (대치동),37.5060406905,127.0601171762
159,서울특별시 강남구 대치2동 960-10,서울특별시 강남구 역삼로 511-5 (대치동),37.5037571860,127.0593983212
160,서울특별시 강남구 대치2동 967-8,서울특별시 강남구 영동대로71길 14 (대치동),37.5042923013,127.0638724867
161,서울특별시 강남구 대치2동 965-24 건너편,서울특별시 강남구 역삼로88길 11 건너편 (대치동),37.5032621200,127.0612673815
162,서울특별시 강남구 대치2동 971-15,서울특별시 강남구 역삼로90길 18 (대치동),37.5028300703,127.0619919601
163,서울특별시 강남구 대치2동 980-1,서울특별시 강남구 역삼로92길 22 (대치동),37.5030210775,127.0628557051
164,서울특별시 강남구 대치2동 980-3,서울특별시 강남구 역삼로90길 25 (대치동),37.5026186557,127.0627478157
165,서울특별시 강남구 대치2동 986,"서울특별시 강남구 삼성로64길 36 (대치동, 하이캐슬)",37.5004074255,127.0633889963
166,서울특별시 강남구 대치2동 975-19,서울특별시 강남구 도곡로83길 14 (대치동),37.5003750831,127.0621954153
167,서울특별시 강남구 대치4동 903-27 건너편,서울특별시 강남구 역삼로463-5 건너편 (대치동),37.5032647775,127.0581489151
168,서울특별시 강남구 대치4동 903,서울특별시 강남구 역삼로77길 8 (대치동),37.5030991344,127.0565575501
169,서울특별시 강남구 대치4동 891-60,"서울특별시 강남구 테헤란로 428 (대치동, 테헤란로 대우 아이빌)",37.5056919892,127.0541831999
170,서울특별시 강남구 대치4동 901-37,서울특별시 강남구 역삼로73길 23 (대치동),37.5035353698,127.0547111519
171,서울특별시 강남구 대치4동 904-1,서울특별시 강남구 역삼로73길 8 (대치동),37.5025580409,127.0555013013
172,서울특별시 강남구 대치4동 905-17,"서울특별시 강남구 역삼로71길 6 (대치동, 리치웰빌리지)",37.5023324752,127.0548237065
173,서울특별시 강남구 대치4동 901-29,서울특별시 강남구 삼성로75길 40-6 (대치동),37.5030709619,127.0547751636
174,서울특별시 강남구 대치4동 900-59,"서울특별시 강남구 선릉로82길 40-5 (대치동, 나라키움 대치동주택)",37.5030322828,127.0536539196
175,서울특별시 강남구 대치4동 900-38,"서울특별시 강남구 선릉로76길 33 (대치동, 대치파인빌)",37.5021859205,127.0531614729
176,서울특별시 강남구 대치4동 890-57,서울특별시 강남구 테헤란로64길 19 (대치동),37.5037734654,127.0518024014
177,서울특별시 강남구 대치4동 899-23,서울특별시 강남구 선릉로76길 9-16 (대치동),37.5020907669,127.0513450226
178,서울특별시 강남구 대치4동 899-34,서울특별시 강남구 선릉로76길 17 (대치동),37.5017801189,127.0519204497
179,서울특별시 강남구 대치4동 920-3,서울특별시 강남구 선릉로72길 10-3 (대치동),37.5000451377,127.0523385849
180,서울특별시 강남구 대치4동 922-8,서울특별시 강남구 선릉로68길 10 (대치동),37.4989707678,127.0525644635
181,서울특별시 강남구 대치4동 918-13,서울특별시 강남구 선릉로72길 34 (대치동),37.5007029585,127.0540120123
182,서울특별시 강남구 대치4동 916-53,서울특별시 강남구 삼성로67길 38 (대치동),37.5004357336,127.0564272968
